"";"A01B";"A01C";"A01D";"A01F";"A01G";"A01H";"A01J";"A01K";"A01M";"A01N";"A01P";"A21B";"A21C";"A21D";"A22B";"A22C";"A23C";"A23D";"A23F";"A23G";"A23J";"A23K";"A23L";"A23N";"A23P";"A24B";"A24C";"A24F";"A41B";"A41C";"A41D";"A41G";"A41H";"A42B";"A43B";"A43C";"A43D";"A44C";"A45B";"A45C";"A45D";"A45F";"A46B";"A46D";"A47B";"A47C";"A47D";"A47F";"A47G";"A47H";"A47J";"A47K";"A47L";"A61B";"A61C";"A61D";"A61F";"A61G";"A61H";"A61J";"A61K";"A61L";"A61M";"A61N";"A61P";"A61Q";"A62B";"A62C";"A62D";"A63B";"A63C";"A63D";"A63F";"A63G";"A63H";"A63J";"B01D";"B01F";"B01J";"B01L";"B02B";"B02C";"B03B";"B03C";"B03D";"B04B";"B05B";"B05C";"B05D";"B06B";"B07B";"B07C";"B08B";"B09B";"B09C";"B21B";"B21C";"B21D";"B21F";"B21H";"B21J";"B21K";"B22C";"B22D";"B22F";"B23B";"B23C";"B23D";"B23F";"B23G";"B23H";"B23K";"B23P";"B23Q";"B24B";"B24C";"B24D";"B25B";"B25C";"B25D";"B25F";"B25H";"B25J";"B26B";"B26D";"B26F";"B27B";"B27C";"B27D";"B27G";"B27N";"B28B";"B28C";"B28D";"B29B";"B29C";"B29D";"B29K";"B29L";"B30B";"B31B";"B31D";"B31F";"B32B";"B33Y";"B41C";"B41F";"B41J";"B41K";"B41L";"B41M";"B42C";"B42D";"B43L";"B44B";"B44C";"B60B";"B60C";"B60D";"B60F";"B60G";"B60H";"B60J";"B60K";"B60L";"B60M";"B60N";"B60P";"B60Q";"B60R";"B60S";"B60T";"B60V";"B60W";"B61B";"B61C";"B61D";"B61F";"B61G";"B61H";"B61K";"B61L";"B62B";"B62D";"B62H";"B62J";"B62K";"B62M";"B63B";"B63C";"B63G";"B63H";"B63J";"B64B";"B64C";"B64D";"B64F";"B64G";"B65B";"B65C";"B65D";"B65F";"B65G";"B65H";"B66B";"B66C";"B66F";"B67B";"B67C";"B67D";"B81B";"B81C";"B82B";"B82Y";"C01B";"C01D";"C01F";"C01G";"C02F";"C03B";"C03C";"C04B";"C05D";"C05F";"C05G";"C07B";"C07C";"C07D";"C07F";"C07H";"C07J";"C07K";"C08B";"C08F";"C08G";"C08J";"C08K";"C08L";"C09B";"C09D";"C09J";"C09K";"C10B";"C10G";"C10J";"C10K";"C10L";"C10M";"C10N";"C11B";"C11C";"C11D";"C12C";"C12G";"C12H";"C12M";"C12N";"C12P";"C12Q";"C12R";"C13B";"C13K";"C21B";"C21C";"C21D";"C22B";"C22C";"C23C";"C23F";"C23G";"C25B";"C25C";"C25D";"C25F";"C30B";"C40B";"D01B";"D01D";"D01F";"D01G";"D01H";"D02G";"D03D";"D03J";"D04B";"D04H";"D05B";"D05C";"D06B";"D06C";"D06F";"D06H";"D06L";"D06M";"D06N";"D06P";"D07B";"D21B";"D21C";"D21F";"D21G";"D21H";"E01B";"E01C";"E01D";"E01F";"E01H";"E02B";"E02D";"E02F";"E03B";"E03C";"E03D";"E03F";"E04B";"E04D";"E04F";"E04G";"E04H";"E05B";"E05C";"E05D";"E05F";"E06B";"E06C";"E21B";"E21C";"E21D";"E21F";"F01D";"F01K";"F01L";"F01M";"F01N";"F01P";"F02B";"F02C";"F02D";"F02F";"F02G";"F02K";"F02M";"F02N";"F02P";"F03B";"F03C";"F03D";"F03G";"F04B";"F04C";"F04D";"F04F";"F15B";"F15C";"F15D";"F16B";"F16C";"F16D";"F16F";"F16G";"F16H";"F16K";"F16L";"F16M";"F16N";"F16P";"F16T";"F17C";"F17D";"F21K";"F21L";"F21S";"F21V";"F21W";"F21Y";"F22B";"F22D";"F22G";"F23C";"F23D";"F23G";"F23H";"F23J";"F23K";"F23L";"F23M";"F23N";"F23R";"F24C";"F24D";"F24F";"F24H";"F24J";"F24S";"F24T";"F24V";"F25B";"F25C";"F25D";"F25J";"F26B";"F27B";"F27D";"F28B";"F28D";"F28F";"F28G";"F41A";"F41B";"F41G";"F41H";"F41J";"F42B";"F42C";"F42D";"G01B";"G01C";"G01D";"G01F";"G01G";"G01H";"G01J";"G01K";"G01L";"G01M";"G01N";"G01P";"G01Q";"G01R";"G01S";"G01T";"G01V";"G01W";"G02B";"G02C";"G02F";"G03B";"G03C";"G03F";"G03G";"G03H";"G04B";"G04C";"G04D";"G04F";"G04G";"G04R";"G05B";"G05D";"G05F";"G05G";"G06C";"G06E";"G06F";"G06G";"G06J";"G06K";"G06M";"G06N";"G06Q";"G06T";"G07B";"G07C";"G07D";"G07F";"G07G";"G08B";"G08C";"G08G";"G09B";"G09C";"G09F";"G09G";"G10F";"G10G";"G10H";"G10K";"G10L";"G11B";"G11C";"G12B";"G16H";"G21C";"G21D";"G21F";"G21G";"G21K";"H01B";"H01C";"H01F";"H01G";"H01H";"H01J";"H01K";"H01L";"H01M";"H01P";"H01Q";"H01R";"H01S";"H01T";"H02B";"H02G";"H02H";"H02J";"H02K";"H02M";"H02N";"H02P";"H02S";"H03B";"H03D";"H03F";"H03G";"H03H";"H03J";"H03K";"H03L";"H03M";"H04B";"H04H";"H04J";"H04K";"H04L";"H04M";"H04N";"H04Q";"H04R";"H04S";"H04W";"H05B";"H05F";"H05G";"H05H";"H05K";"Type"
"0111";36;NA;NA;74;NA;NA;100;NA;31;NA;56;NA;0;NA;0;55;NA;65;NA;NA;100;NA;NA;NA;NA;NA;24;0;NA;0;3;0;19;11;0;0;0;0;0;0;16;0;0;NA;0;NA;0;NA;5;NA;NA;0;2;4;7;29;7;25;7;NA;NA;NA;11;7;NA;NA;0;0;53;7;0;NA;1;0;0;0;13;18;NA;29;76;NA;93;18;0;0;13;0;0;0;NA;NA;NA;32;53;0;0;0;0;0;0;0;17;2;0;0;0;0;0;0;0;8;2;2;1;0;0;0;NA;0;0;0;10;0;NA;34;14;45;0;9;0;32;14;0;14;13;NA;23;0;8;29;0;0;4;4;0;9;5;0;52;13;0;0;56;0;7;5;1;21;0;1;5;5;1;2;0;17;12;1;4;9;1;0;1;11;0;NA;0;0;0;2;10;NA;1;NA;0;24;0;4;0;4;0;0;0;3;4;4;0;NA;43;33;0;NA;3;0;3;0;54;NA;NA;8;15;17;24;27;0;0;36;33;0;0;14;100;NA;NA;65;NA;NA;13;NA;82;NA;NA;47;22;NA;16;22;10;17;15;7;20;45;0;33;NA;0;0;NA;0;51;64;NA;83;NA;NA;NA;NA;NA;100;39;7;0;0;18;0;17;0;51;0;0;0;0;0;56;0;0;98;0;0;0;10;0;0;NA;0;0;0;0;28;25;33;41;0;5;0;0;47;0;0;44;12;NA;55;45;13;19;NA;0;9;20;28;10;17;0;0;0;28;0;0;NA;20;NA;0;4;10;13;5;2;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;NA;0;NA;4;3;5;NA;1;2;7;0;0;0;0;0;7;4;0;1;2;1;0;4;NA;0;5;0;0;0;0;65;0;0;1;0;41;4;6;4;0;0;0;0;0;0;8;11;NA;2;3;0;0;0;28;0;NA;0;0;0;0;0;0;8;3;NA;9;9;4;4;10;3;4;27;9;8;4;4;0;1;10;6;0;19;11;0;1;0;11;0;0;0;0;0;0;8;7;0;0;0;0;6;1;0;4;26;3;5;7;0;4;0;10;21;5;13;2;1;0;3;1;0;0;0;0;3;2;4;NA;8;4;0;0;0;23;0;0;1;0;0;14;0;4;1;0;2;0;0;0;0;8;0;2;3;0;0;3;3;0;0;2;0;1;0;0;0;0;1;0;1;0;1;1;2;0;0;0;1;22;0;0;NA;0;"relatedness.density.ext"
"0112";0;0;0;0;0;0;0;3;0;4;6;0;0;5;0;0;6;0;73;NA;0;13;NA;0;0;7;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;1;0;0;0;6;0;0;NA;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;3;0;0;5;0;2;2;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;"relatedness.density.ext"
"0113";37;NA;NA;74;NA;NA;0;43;30;NA;NA;0;NA;NA;89;NA;41;21;73;NA;NA;NA;NA;NA;NA;34;0;0;NA;0;0;0;32;0;0;0;0;NA;0;0;20;0;0;NA;NA;0;0;0;NA;0;6;0;5;2;3;0;2;0;0;2;50;16;4;7;NA;4;0;0;40;2;0;NA;1;0;4;0;0;0;7;30;0;NA;23;NA;0;0;6;0;0;0;23;NA;6;7;40;0;20;NA;46;21;0;0;0;0;0;0;40;NA;0;0;0;11;0;13;0;0;0;0;NA;0;0;0;3;71;NA;47;14;45;0;9;0;0;0;0;0;3;0;0;0;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;21;0;1;0;0;0;1;0;9;4;1;3;0;1;0;1;NA;0;0;0;100;0;2;3;0;3;NA;0;24;0;0;0;0;0;0;0;1;2;4;0;4;0;4;0;9;3;0;5;0;0;0;0;0;2;0;20;0;0;0;36;15;7;0;8;100;3;NA;0;11;43;7;NA;48;NA;5;0;0;1;0;1;10;1;0;6;0;8;0;0;26;0;0;14;0;36;53;0;25;41;NA;NA;NA;82;100;39;7;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;10;0;0;0;0;0;0;0;4;35;16;29;0;5;0;0;37;0;0;33;12;0;0;37;9;0;19;4;0;0;0;0;0;0;0;0;10;8;0;NA;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;NA;0;0;0;3;0;NA;1;0;7;0;0;0;0;0;0;4;0;1;1;1;0;0;0;0;5;0;0;0;0;56;0;0;0;0;0;0;2;0;0;0;0;0;0;0;8;0;3;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;6;1;1;2;NA;1;1;0;5;1;16;0;2;1;1;0;1;2;1;12;0;1;0;0;0;5;13;0;0;0;15;22;3;3;0;0;0;0;4;1;0;3;18;1;2;3;0;3;0;8;0;2;1;0;2;0;0;0;0;0;0;0;2;0;2;NA;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;20;0;0;5;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;8;0;0;0;1;"relatedness.density.ext"
"0114";25;10;NA;61;NA;NA;0;28;10;14;14;0;0;17;5;0;11;15;100;NA;0;34;NA;0;0;11;6;0;NA;0;1;0;0;0;0;0;0;0;0;0;16;0;0;NA;0;0;0;0;0;0;2;0;2;3;0;9;1;0;0;4;NA;12;8;2;NA;NA;0;3;14;0;0;NA;1;0;0;0;NA;8;4;19;0;1;0;8;50;15;4;0;0;0;0;6;4;4;14;2;1;0;0;0;0;0;4;4;1;0;0;0;0;0;0;1;0;0;1;6;0;0;NA;0;0;0;1;0;0;0;14;45;0;9;0;2;3;0;0;1;0;0;0;1;0;0;0;0;1;0;4;3;0;0;4;0;0;0;0;7;0;1;0;0;1;2;0;0;1;2;0;1;1;0;3;2;0;1;1;0;0;0;0;0;3;2;0;1;0;0;0;0;0;0;4;0;0;0;1;1;1;0;4;4;1;4;0;1;1;0;0;0;0;0;6;2;0;13;6;100;0;0;19;0;0;4;0;5;12;21;18;61;15;41;100;58;10;13;3;4;4;4;4;2;0;0;7;8;0;16;11;0;0;24;0;24;27;23;11;46;NA;33;NA;NA;100;15;0;1;3;0;1;0;2;0;0;25;5;21;1;20;0;0;2;2;0;0;0;0;0;0;0;0;0;0;4;2;10;10;0;2;6;0;27;1;1;15;12;5;6;11;11;12;10;0;0;0;0;0;0;0;3;6;6;1;0;NA;2;4;0;4;0;0;0;2;0;0;2;17;0;0;0;1;0;0;0;2;2;0;0;0;1;0;0;0;0;0;0;NA;0;0;1;3;0;NA;2;0;1;0;3;0;2;0;3;6;0;1;1;1;0;0;0;0;2;0;2;0;8;0;0;0;2;0;2;0;5;0;8;16;0;0;1;0;1;4;7;1;0;2;0;3;0;0;NA;0;2;0;0;0;0;7;1;3;3;4;4;10;3;1;3;NA;1;4;3;2;6;4;2;3;1;3;1;0;7;0;12;0;0;0;0;0;0;2;3;0;4;0;2;3;3;0;2;21;2;2;5;0;2;2;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;2;NA;4;2;0;17;11;2;0;0;5;4;1;12;0;2;1;0;0;3;0;0;1;6;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;2;0;3;3;0;"relatedness.density.ext"
"0116";28;NA;12;24;NA;NA;0;52;NA;NA;NA;0;0;57;0;0;37;62;100;NA;0;53;NA;0;0;31;18;0;NA;0;NA;0;13;0;0;0;0;0;0;0;26;0;0;NA;0;0;0;0;0;0;2;0;1;4;5;0;0;0;0;3;NA;23;7;3;NA;NA;9;3;52;3;0;NA;1;0;0;0;NA;17;15;22;0;0;0;18;50;10;13;0;1;0;0;8;2;14;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;NA;0;0;0;1;0;0;0;14;45;0;9;0;0;0;0;5;1;0;0;0;0;0;0;11;0;1;0;4;3;0;0;14;0;0;0;0;7;0;0;21;0;1;2;0;0;0;0;3;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;2;4;0;0;0;1;0;0;0;0;0;0;3;4;0;13;13;100;0;36;33;0;0;0;100;35;0;0;NA;NA;13;NA;82;75;11;15;4;3;10;7;87;5;0;6;20;37;0;49;NA;NA;100;NA;NA;NA;NA;28;27;NA;NA;NA;NA;87;100;100;0;0;0;0;0;0;0;0;0;0;4;21;0;52;0;0;0;0;0;0;9;0;0;0;0;0;28;0;9;0;NA;51;0;NA;0;41;NA;6;9;NA;0;0;0;16;12;8;19;0;0;0;0;0;0;0;0;0;11;0;0;NA;2;0;0;1;0;0;0;0;0;0;0;16;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;4;NA;0;0;7;0;0;0;0;0;2;7;0;1;4;1;0;4;0;0;2;0;0;0;6;0;0;0;3;0;2;0;6;0;8;16;0;0;1;0;1;11;17;2;2;0;0;0;0;0;NA;0;0;0;0;0;0;3;1;3;0;0;0;NA;11;2;0;21;0;2;1;1;4;3;3;4;0;1;1;0;2;0;11;0;0;0;0;0;0;2;2;0;0;0;0;4;1;0;1;18;1;2;4;0;0;4;0;0;2;3;0;0;0;0;1;0;0;0;2;0;0;2;NA;2;0;0;0;0;0;0;0;4;0;0;4;0;1;0;0;0;0;8;0;0;12;0;0;0;0;0;0;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;3;0;7;0;2;"relatedness.density.ext"
"0119";19;NA;9;24;NA;NA;0;18;31;9;6;0;0;11;0;0;4;14;0;NA;0;18;7;0;0;3;0;0;NA;0;0;0;5;0;0;0;0;0;0;0;6;0;0;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;23;7;6;1;25;4;0;0;7;0;0;NA;1;0;0;0;7;NA;11;19;0;NA;23;6;0;0;10;6;0;0;23;8;14;0;7;2;10;10;0;0;0;0;0;4;8;2;19;0;0;0;7;NA;6;5;0;0;0;7;NA;0;0;0;2;0;2;5;14;45;0;9;54;0;14;0;17;8;0;9;0;0;0;0;0;NA;8;0;0;0;0;0;7;0;0;0;0;9;0;0;21;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;10;0;1;1;0;0;0;0;0;0;7;2;0;6;0;0;0;0;3;0;0;13;100;3;0;0;4;2;51;37;0;NA;41;15;NA;35;NA;NA;4;17;42;0;0;5;0;0;9;0;0;9;0;22;23;0;2;31;NA;24;NA;36;0;15;7;0;0;0;5;5;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;19;16;0;4;7;5;0;2;0;0;21;0;0;11;0;0;0;16;0;9;19;0;0;36;NA;18;0;0;0;0;8;0;0;NA;0;0;0;0;0;0;0;0;0;6;0;3;0;0;0;0;14;0;0;0;4;0;0;0;0;0;2;0;0;0;0;NA;0;0;0;0;5;NA;0;0;21;0;0;0;0;0;0;4;0;1;1;1;0;0;0;0;5;0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;2;0;1;4;0;1;1;0;0;0;11;0;2;0;1;0;0;2;2;0;0;1;0;4;0;34;0;0;0;0;0;0;2;1;0;0;0;0;2;0;0;1;18;1;1;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;0;0;0;1;6;NA;1;0;0;0;0;0;19;0;0;0;0;3;0;2;2;0;0;0;25;0;0;5;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;12;7;"relatedness.density.ext"
"0122";0;0;0;0;0;0;100;6;0;9;13;46;0;12;0;0;NA;0;73;NA;100;NA;NA;0;NA;29;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;7;34;0;0;0;0;0;0;0;35;4;12;1;0;1;0;0;0;13;0;0;NA;0;0;0;0;1;4;0;2;0;0;0;0;0;0;0;0;0;0;0;15;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;57;0;47;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;11;NA;0;1;3;0;0;0;0;0;51;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;6;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;8;0;0;21;0;5;5;2;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;7;NA;53;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;NA;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;2;2;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;"relatedness.density.ext"
"0123";17;22;10;11;NA;NA;0;12;NA;10;7;46;0;9;5;55;6;8;73;NA;0;16;NA;NA;0;9;6;0;NA;0;1;0;14;0;0;0;0;0;0;0;1;0;0;NA;0;0;0;0;33;0;NA;0;0;2;0;9;0;0;0;10;14;7;1;1;22;0;0;0;7;0;0;NA;1;0;0;0;3;7;4;9;0;1;0;1;0;5;8;0;0;0;0;14;2;1;7;2;1;0;0;0;0;0;4;4;1;0;0;0;0;0;0;2;0;2;1;6;0;0;NA;0;0;0;1;NA;NA;29;14;45;0;9;0;2;3;0;0;2;0;0;0;1;29;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;2;0;1;0;0;3;1;0;0;9;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;4;0;0;0;3;4;1;0;NA;11;14;4;4;4;1;0;0;0;0;51;4;1;0;5;1;0;0;0;4;0;0;4;0;2;12;21;23;NA;3;10;18;9;6;1;1;0;0;0;0;0;0;0;7;4;0;0;6;0;0;5;0;8;12;8;5;12;11;9;12;3;100;0;0;1;3;0;1;0;2;0;0;25;1;0;1;9;0;0;2;2;0;0;10;0;0;0;0;0;0;0;3;24;0;5;0;0;6;0;17;1;1;9;0;5;6;5;13;4;10;0;44;0;0;0;0;0;3;6;7;1;0;NA;2;0;0;5;0;0;0;3;4;0;2;1;0;0;0;0;0;0;0;2;2;0;0;0;1;8;0;0;1;0;0;NA;0;0;1;0;4;NA;1;0;9;0;3;0;2;0;NA;6;0;1;1;1;0;0;0;0;0;0;2;0;1;0;0;0;1;0;25;0;1;4;0;0;26;0;0;0;2;4;3;1;0;2;0;3;0;0;NA;0;2;0;0;0;0;8;1;5;14;1;5;9;8;1;7;NA;2;2;3;2;6;4;2;3;1;3;1;0;7;0;7;0;0;0;0;0;0;4;3;0;4;0;2;1;1;0;3;21;2;2;5;0;0;2;0;0;1;1;0;4;0;0;0;0;0;0;2;1;0;1;NA;1;2;0;17;11;2;0;0;1;4;1;9;0;2;1;0;0;3;0;0;1;12;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;1;0;0;0;5;0;3;3;0;"relatedness.density.ext"
"0124";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"relatedness.density.ext"
"0125";0;0;0;0;1;NA;0;4;0;0;0;0;0;4;0;0;0;7;0;NA;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;5;0;5;12;0;0;0;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"relatedness.density.ext"
